Product Name,final_text
MiCloud Connect,micloud connect complete communication service delivers seamless voice collaboration contact center solution single provider combining intuitive user experience flexible service plan google cloud proven reliability micloud connect make every aspect communication collaboration simple secure
Moxtra,moxtra collaboration communication sdksapis primarily mobileoriented
SurgeMail,surgemail one fastest robust fullyfeatured email secure server market today support standard protocol thousand mail server installed software serving hundred thousand webmail account around world
WebCenter,oracle webcenter contains set component building rich web application portal team collaborationsocial site oracle webcenter center engagement powering exceptional experience customer partner employee connects people process information complete portfolio portal content management web experience management collaboration technology
Slack,slack proprietary communication developed american software company slack technology slack offer many ircstyle feature including persistent chat room organized topic private group direct messaging slack purchased salesforce
SmartSheet,smartsheet software service offering collaboration work management developed marketed smartsheet inc used assign task track project progress manage calendar share document manage work using tabular user interface
SnagIt,snagit screenshot program capture video display audio output
Process Runner GLSU,glsu plug play spreadsheet uploader sap provides flexible intuitive excel interface collecting posting financial transaction excel
Zoom,provides videotelephony online chat cloudbased peertopeer software used teleconferencing telecommuting distance education social relation
Pexip Infinity,pexip infinity selfhosted virtualized distributed multipoint conferencing
Bright Talk Webinars,brighttalk isa technology medium company provides professional webinar hosting variety industry
Labs,brightidea cloudbased innovation management designed midsize large company brightidea feature discussion management provides user collaboration share comment idea user also view comment based team topic idea physical map collect share route screen evaluate experiment incubate develop track report best idea organization offer advanced idea innovation management software available
Adobe Connect,audio bridge used adobe connect adobe connect support virtal classroom training critical priority eliminate need travel associated traditional classroom training still providing engaging experience
Adobe Connect,adobe connect mtg coso mgdallmgscallms named host coso connect meeting named host coso managed individual named host ability host meeting total attendee
Adobe Connect,adobe connect robust featurerich integrates seamlessly communication division ntts global audio conferencing providing consistent intuitive enterpriseclass meeting user experience anyone anywhere device arkadin getconnect license provide audio integration adobe utilized engagement communication home based team hba
Confluence,confluence team workspace knowledge collaboration meet dynamic page give team place create capture collaborate project idea atlassian corporation enterprise software multinational develops product software development project management content management best known issue tracking application jira team collaboration wiki product confluenceatlassian stack bundle atlassians center tool along server offering atlassian customer already using tool good opportunity get everything single suite atlassian stack includes center version jira software bitbucket jira service desk confluence overview
Office 365 ProPlus-Old,office proplus userbased service allows people install full version microsoft office pc mac mobile device
Office Professional Plus,office professional plus includes access excel onenote outlook powerpoint publisher word skype
Office 365 ProPlus,microsoft pro plus productivity designed help pursue passion run apps like word excel powerpoint microsoft brings together bestinclass productivity apps powerful device management advanced security one connected experience office proplus essentially alwaysuptodate version microsoft office suite apps
Lucidchart,lucidchart intelligent diagramming application brings team together make better decision build future collaboration tool drawing revising sharing chart diagram diagram people process system take advantage powerful feature help team communicate complex idea collaborating real time
Playbooks,ai help sale team build better pipeline insidesalescom playbook system improve rep productivity allowing rep work within automated consolidated single paneofglass application highly integrated salesforcecom predictive playbook allow sale leadership marketing sale enablement align sale rep best practice includes messaging cadence performance insidesalescom playbook system incorporates many component replace multiple application dialer email tracking gamification etc
Marketo Engage,marketo develops sell marketing automation software accountbased marketing marketing product including seo content creationengage empower existing customer new product understanding need get view customer connecting marketing sale customer utilize pre post analysis marketing focus investment drive valuable opportunity drive conversion customizing content across platform screen marketingsales activity engage customer individual scale responding based dont wherever automatically segment customer based demographic behavior engage customer throughout journey personalized automated email create single view customer end end view across program channel email online event social measure track email campaign effectiveness easy use performance dashboard enable customer become brand ambassador providing right content tool share
Localworks,website yext provides perfect answer everywhere customer search yexts search experience put business control fact online providing brand verified answer website across search engine map apps voice assistant chatbots yext help brand take back control customer journey
KBM,prospect warehouse management campaign management result attribution server hw sw email deployment analytics technology integration marketing company committed helping client achieve optimized marketing result customer relationshipsprovide relevant interaction consumer design engagement ecosystem synchronized communication help world bestknown brand evolve along datadriven marketing continuum improved marketing performance mutually valuable customer relationship stronger competitive advantage
KBM,prospect warehouse management campaign management result attribution server hw sw email deployment analytics technology integration marketing company committed helping client achieve optimized marketing result customer relationshipsprovide relevant interaction consumer design engagement ecosystem synchronized communication help world bestknown brand evolve along datadriven marketing continuum improved marketing performance mutually valuable customer relationship stronger competitive advantage
Lattice Atlas,lattice atlas enables deliver activate audience different channel digital ad social web email sale measure manage performance measure track performance campaign tactic tie back pipeline revenue lattice atlas architected open principle model designed aggregate wide variety enabling customer create view prospect customer standardized ingestion interface import stparty internal system quickly easily
SWRVE Mobile Engagement Platform,swrve mobile marketing customer engagement help leading brand confidently scale communication million customer real time softwareasaservice providing application engagement targeting ab testing inapp messaging push notification functionality swrve enables visible engage customer highly relevant timely manner
Email Generation Platform,email generation seamlessly integrates esp allows enterprise marketerswithout technical knowledgeto easily generate onbrand errorproof email think u cm built specifically email tool used marketing department generate code ready email via wysiwyg interface tool ensures email brand compliant adhere brand standard
Glassbox,glassbox crossplatform analytics tool specializes session replay technology allows company integrate screen recording technology appsto replay user interacts apps software providing digital session capture native mobile application web based application recording analyzing customer digital journey
"Tealium iQ Tag Management, EventStream, EventStore, AudienceStore",tealium iq tag management enterprise tag management system serf foundation supplier universal hub tealium iq enables organization control manage customer technology vendor across web mobile iot connected device via ecosystem turnkey integration offered via tag apis tealium eventstream collection delivery ideal mobile iot connected device provides flexibility get cloudbased serverside one central hub allows customer orchestrate powering customer experience tealium audiencestream provides audience management enrichment capability resulting unified customer profile ability take immediate relevant action based eventstore provides efficient way collecting exporting eventlevel compressed flattened json file made available download supplier amazon bucket audiencestore provides efficient way collecting exporting visitorlevel compressed flattened json file made available download supplier amazon bucket
ISPOT TV Attribution,realtime tv attribution tv measurement tv attribution tv advertising analytics ispot leader tv attribution enables measure optimize plan tv outcome ispottv help advertiser measure brand impact tv streaming advertising concept airing conversion
Intercom Messaging Platform,intercom produce messaging allows business communicate prospective existing customer within app website social medium via email
WebAssurance,observepoint software company provides automated analytics testing tag governance digital analytics marketing technology observepoints platform verify collect site mobile app accurate allowing make informed confident decision observepoint premier quality assurance automatically verifying web tag performance improving digital quality observepoint integrates virtually every marketing technology ensure accurate collection across analytics solution channel device webassurance observepoint quality assurance audit web property automatically validate digital gain confidence number drive critical decision web assurance identify missing duplicate web tag
AppAssurance,test monitor validate mobile sdks analytics appassurance scan mobile app analyzing thirdparty implementation functionality error maximizes roi mobile app investment give better insight monitor test validate mobile apps analytics marketing technology deployment see detect mobile app tag deployment error test mobile software development kit mobile sdk provide set software development tool allow wide range varied mobile apps smartphones tablet app creator able tap robust feature sdk without needing coding expertise extensive software development
T1Research,access forresters research
Kaon High Velocity Marketing Platform,kaon interactive provider interactive product marketing sale application kaon high velocity marketing creates capture economic value every phase marketing sale lifecycle unlike point provider extensible nature kaon allows interactive application created used everywhere driving powerful customer engagement global bb companiesedge computing ar poc app use kaon high velocity marketing saas
Mention Plan,mention solution provides medium monitoring application company develops application creates alert client brand industry company name competitor well monitor improve social medium performance find influencers protect reputation medium monitoring tool provides realtime alert company keyword allows user monitor million source real time language
Signet Media Managed Services,full service national agency combining proficiency brand strategy medium planning digital marketing creative design web design social medium event public relation much digital engagement facilitates communication marketing across key enterprise division create one point contact efficiency reporting
Bitly,bitly url shortening service link management bitly mostly known popular url link shortener thats addition processing billion click web link every month bitly also powerful online marketing tool used track click see site referral get idea geographical location click coming
Return Path,return path offer suite cloudbased product ensure email campaign optimization message deliverability return path help commercial email sender get email delivered inbox tool give sender insight resource diagnose prevent email deliverability rendering failure improving maintaining email sending reputation return path acquired validity
DealWall,dealwall purposebuilt dealexecution app targeted account channel sale executive crosscompany sale partner customer deal team securely collaborate deal device anytime anyplace
Audience Manager,management help build unique audience profile identify valuable segment use across digital channel
Experience Platform (AEP Core),experience foundation experience product open system transforms dataadobe nonadobeinto robust customer profile update real time us aidriven insight help deliver right experience across every channel
Experience Platform Application Services (AEP App Svc),customer journey analytics customer journey analytics service built adobe experience let join every channel single interface realtime omnichannel analysis visualization allowing make better decision holistic view context behind every customer action realtime customer collect normalize unify known unknown individual company robust realtime people account profile let bc bb marketer deliver personalized experience across channel scale journey orchestration journey orchestration service built adobe experience allows tailor individual journey every customer based previous behavior preference
Premier Support,adobe premier support
Siebel,oracle siebel crm sale force automation sfa customer relationship management designed assist enterprise manage customer experience includes range sale marketing customer service application tailored various industry siebel crmcustomer relationship management application mainly deployed company huge customer base expect regular interaction
Decision Manager,decision management enhance application help predict customer behavior optimize process analyze natural language make informed decision better meet customer need achieve positive outcome
Stack Overflow,stack exchange network questionandanswer website topic diverse field site covering specific topic question answer user subject reputation award process reputation system allows site selfmoderating
Vivial Marketing Platform,combining power custom content reach social medium immediacy text messaging vivial marketing ticket connecting engaging customer support expert ondemand service team youre never alone
Journey Automated Marketing System(JAMS),reaching vision fully integrated marketingwhere touchpoints across channel work together deliver powerful customer journey experience
SafetoSend,email verification validation hygiene freshaddress delivers customer acquisition solution help reach customer inbox mailbox appending add optedin email address existing postal database well postal information existing email address database
Engage,sale scorecard tool used help planning sale goal help identify sale rep behavior performance goal tracking kpi tracking mgrs insight rep need focus
Enterprise Sales Enablement Platform,seismics sale enablement empowers enhance way deliver content seller providing sale team instant access dealclinching collateral right time training effective news matter
Responsive Acquisition Marketing Platform (RAMP),system llc provides software solution company develops pretargeting identify unlock fulfill consumer intent across channel including social native email search market research lead generation system serf customer state california
Demand Acceleration Platform,integrate leader precision demand marketing emerging category help bb marketer develop deliver omnichannel demand strategy convert lead revenue drive marketing roi integrate work highgrowth enterprise organization bb marketplace digital buyerdriven integrate demand acceleration dap empowers team reach right account buyer theyre ready buy using thats always validated marketable
Skyword360,skyword enterprise content marketing streamlines content planning ideation creation publication optimization
GridBuddy,gridbuddy aim increase productivity improve usability salesforce sale rep customer service agent project manager sale enablemet add increased functionality salesforce feature allowing mass action across multiple record simplify complex management process working within salesforce crm easily edit manage accessing superior visibility pipeline improved salesforce ux simplified workflow
Validity for Data Management,validity management complete ensuring quality trustworthy contact list driving toward crm adoption confidence mean confidence decision suite including demandtools gridbuddy briteverify
Integration Manager,db integration manager brings together various source transforms actionable commercial insight
Hoovers,hoover online bb prospecting utilizes dun bradstreet better faster acquisition bb lead prospect hoover also leveraged many bb company enhance quality enabling fully maximize impact marketing sale effort ultimately get desired campaign result better
NetProspex,pairing netprospexs approach measuring quality dun bradstreet global commercial database position bb marketer gain deeper insight target audience move aim provide single source help bb marketer identify analyze prioritize opportunity
D&B Optimizer,db optimizer foundational service dun bradstreet improves quality correctly identifying cleansing injecting firmographic intelligence record within microsoft application environment
Finance Analytics,formerly dnbi order called finance analytics db credit service provide substantially functionality usage allowance dnbi service dnbi credit risk management product previously called dnbi order
ABM Managed Services,ignitium accountbased marketing abm shall research account persona develop strategy design campaign generate awareness opportunity revenue target account service includes weekly meeting team review relevant discus strategy engagio primary abm strategy orchestration
Zeta Marketing Platform,winback email license appends zeta global customer lifecycle management marketing company founded zeta help company create maintain monetize customer providing customer enhanced multichannel marketing tool help manage full customer lifecycle
Conductor Searchlight,company primary product conductor searchlight cloudbased seo content marketing conductor also provides recommended action optimizing digital marketing metric increasing revenue
Infobase Enhancement Elements and Audience Propensities,company collect analyzes sell customer information used targeted advertising campaign demographic u household appended customer record well prospect
Cirrus Insight,cirrus insight core functionality integrate google popular gmail adsupported free email program salesforcecoms cloudbased customer relationship management crm software feature include ability track gmail email attachment salesforce view salesforce information gmail google apps synchronize salesforce google calendar add user google contact salesforce
PeopleAI Enterprise Platform,provides sale management company automates sale rep ramp coaching activity analytics customer relationship management entry using machine learning
Priority Engine Platform,techtargets priority engine saasbased delivers direct realtime access active account prospect ranked level purchase intent engagement help enterprise bb technology organization improve abm performance increase sale productivity maximize demand priority engine boost sale marketing success providing direct access real active buyer inmarket account see priority engine support goal
Digital Presence Platform,online brand management yext knowledge manager business online information life take scattered information internet creates single source truth company digital knowledge knowledge manager put back control public fact called knowledge graph
Sales Enablement Platform,highspot bridged gap strategy execution empowering organization equip train coach sale team win together maximum impact
"Modern Care
Social Engagement and Sales",enterprise social medium management system smms experience technology sprinklr offer world complete enterprise social medium management system smms experience technology purposebuilt help large brand create manage optimize valuable social experience
Lean Data Routing and Pro Serv,leandata provides market leading revenue operation highgrowth bb organization accelerate revenue improve performance standing center crm leandata connects right right people right time across gotomarket process aligning marketing sale leandatas leadtoaccount matching routing attribution solution sale rep receive lead contact account opportunity need work close deal drive revenue faster
Dynamic Signal Platform,employee social advocacy program provides ability provide approval social content employee share via personal social handle program could offset social medium cost
Outreach Platform,outreach optimize first engagement intelligence help sale team manage workflow gain actionable insight navigate increasingly complex buying processall realtimeto beat sale goal
Salesloft Platform,salesloft sale engagement salesloft automates manual task hold back give next best action propel deal forward start run entire day single app activity automatically synced back crm manage opportunity creation close expand strategic account
Responsys,oracle responsys campaign management crosschannel campaign management delivers advanced intelligence scale create personalized message based individual interest preference customer prospectsoracle responsys awardwinning email marketing tool functionality help improve conversion strengthen customer relationship dramatically lessen messaging fragmentation emailmarketing fios allows digital marketer automate cross channel campaign orchestration email sm mobile app campaign
Whisbi Enterprise,whisbi global leader solving digital transformation challenge enterprise creates opportunity sale marketing professional increase sale conversion improve live engagement provide differentiating online customer experience conversational sale
Act On,acton software softwareasaservice product marketing automation
GridBuddy,gridbuddy aim increase productivity improve usability salesforce sale rep customer service agent project manager sale enablemet add increased functionality salesforce feature allowing mass action across multiple record simplify complex management process working within salesforce crm easily edit manage accessing superior visibility pipeline improved salesforce ux simplified workflow
Gong Enterprise,patented gong revenue intelligence capture understands every customer interaction delivers insight scale empowering revenue team make decision based instead opinion gong provides people deal market insight sale marketing customer success product executive leadership
Ecommerce Marketing,convert browser active shopper today browse abandonment email marketing automation campaign browse abandonment email automatically generated sent visitor based specific pageproduct visitor abandoned browse abandonment email highly personalized include relevant personal product recommendation personal dynamic coupon interamind remarkety
Annual Data Files,db suppplies information global database dun bradstreet covering million company mine help customer manage risk accelerate sale lower cost dataasaservice daas integration software subscription file report company product area include credit risk sale marketing master supply chain management compliance
