Product Name,Cleaned Description
Test Data Management,kview test data management solution quickly provisions test data subsets referential integrity number production sources based userdefined rules testing teams spend less time retrieving preparing test data complete testing quickly higher quality
Advanced Data Integration (ADI),kview software company provides dataasservice platform enables enterprises access data want real time simplified format fit purpose shift transformation fast lane kview adi lets flexibly sync data data sources target microdatabases providing full realtime control frequency syncing
Data Fabric,kview fabric easily connects virtually data source organizes data around matters business customers stores transactions products stores secure microdatabases exposes realtime device application service keeping continuously refreshed kview software company provides dataasservice platform enables enterprises access data want real time simplified format fit purpose shift transformation fast lane
KYVOS Enterprise,kyvos business intelligence acceleration platform cloud big data platforms developed american privately held company named kyvos insights
Logi Info,logi analytics business intelligence bi platform provides selfservice analytics tools businesses embedded directly applications employees use every day key features include dashboard data blending associate filtering
Vertica,columnar storage platform thats designed handle large volumes data enables fast query performance traditionally intensive scenarios
MicroStrategy Collaboration,microstrategy platform supports interactive dashboards scorecards highly formatted reports ad hoc query thresholds alerts automated report distribution
Oracle Business Intelligence Enterprise Edition (OBIEE+),oracle business intelligence suite enterprise edition obiee innovative comprehensive bi platform delivers full range bi capabilities nextgeneration architecture designed true enterprise deployment
Spectrum Technology Platform,spectrum technology platform modular software master data management platform handles data processing integration quality analytics governance synchronizing repository data providing business services
Enterprise Stack,grafana enterprise includes access enterprise plugins take existing data sources allow drop right grafana means get best complex expensive monitoring solutions databases visualizing data easier effective way grafana open source solution running data analytics pulling metrics make sense massive amount data monitor apps help cool customizable dashboards apm
"Business Objects BI Suite, analytics edition",sap businessobjects bi sap bo also historically bobj reporting analytics business intelligence bi platform aimed business users consists number reporting applications allow users discover data perform analysis derive insights create reports visualize insights
Einstein Analytics,sales cloud einstein data science department learns teams sales activities crm data helps identify best leads convert opportunities efficiently retain customers ease sales cloud einstein also includes sales analytics app inbox
Tableau Server,tableau software business intelligence data visualization tool helps analyse report huge amounts data desired information tableau powerful fastest growing data visualization tool used business intelligence industry helps simplifying raw data easily understandable format data analysis fast tableau visualizations created form dashboards worksheets acquired salesforce
SISENSE Platform,sisense business intelligence tool simplifying complex data preparation analysis visualize complex data stunning dashboards
Dundas Data Visualization,dundas bi exceptionally flexible endtoend business intelligence platform simplifies entire analytics process empowers everyone visualize analyze data
Heavy.AI Enterprise,take nomovement approach accessing data warehouses lakes enterprise databases point datasets make readily available queries analysis data exploration without loading directly heavydb heavyconnect intelligently captures changes data connections accounts differences db sqlbased relational columnar database engine specifically developed harness massive parallelism modern gpu cpu hardware query billions rows milliseconds capable unprecedented ingestion speeds making ideal sql engine era big highvelocity data
Spatial Data Catalog,browse spatial data catalog discover thousands public premium datasets enrich data discover data observatory enables data scientists analysts developers save time gathering cleaning data
KORE BOTS Platform,koreai bots platform provides secure scalable superior endtoend solution design built test deploy aipowered chatbots koreai bots platform kore bots platform licenses use ai customerservice assistant create personalized customer experiences across voice digital channels respond deflect complex queries high degrees accuracy automate interactions improve net promoter score
Easy View,robot provides exceptional automation solutions every ibm environment
Crystal Ball,oracle crystal ball leading spreadsheetbased application predictive modeling forecasting simulation optimization gives unparalleled insight critical factors affecting risk
Comprehend,amazon comprehend naturallanguage processing nlp service uses machine learning uncover valuable insights connections text
Polly,amazon polly service turns text lifelike speech allowing create applications talk build entirely new categories speechenabled products pollys texttospeech tts service uses advanced deep learning technologies synthesize natural sounding human speech
Transcribe,amazon transcribe automatic speech recognition asr service makes easy developers add speechtotext capability applications
Datacap,ibm datacap helps streamline capture recognition classification business documents extract important information natural language processing text analytics machine learning technologies automatically identify classify extract content unstructured variable documents
Watson,ibm watson data analytics processor uses natural language processing technology analyzes human speech meaning syntax ibm watson performs analytics vast repositories data processes answer humanposed questions often fraction second
IQ Bot,iq bot enables organization automate humancentric processes involving fields patterns intelligent iq bots learn process studying human behavior becoming accurate faster virtually foolproof reducing human processing costs
Enterprise AI,datarobot enables business analysts build predictive analytics knowledge machine learning programming uses automated ml build deploy accurate predictive models short span time
ASAPP,asapp artificial intelligence company changes way people large organizations communicate company created asynchronous messaging platform allows organizations people interact way one another cloud service software license agreement subscription asapp platform replace incumbent nuance providing social chat customer interaction platform cmb agents
Enterprise RPA Platform,server controls automation anywhere bots apart control room deal user management source control code bots managed control room
Data Science Platform,dominos data science workbench provides flexibility power data scientists need accelerate research make breakthroughs deliver real business impact domino captures data science work central repository team easily find reproduce reuse work gone days data scientists starting projects scratch find another team member working problem instead knowledge compounded reusable code artifacts learnings previous experiments integrated project management capabilities ability replicate development environments empowers enable multicloud data science strategic adoption kubernetes domino enables forwardlooking organizations streamline enhance data science infrastructure scalable multicloud support top industryleading orchestrator sow domino shall provide advisory services customer install configure two kubernetes clusters domino platform customers cloud infrastructure
Desktop and Process Analytics,verint advanced desktop analytics captures events data employee desktops understanding employees use software applications perform work provides visibility identifying top performers volumes activity process flows contact centre back office branch
Interaction Data Platform,verint interaction analytics proven powerful solutions help listen analyze act voice customer
Designer,alteryx designer empowers data analysts combining data preparation data blending analytics predictive statistical spatial using intuitive user interface alteryx designer windows software application provides intuitive dragand drop user interface users create repeatable workflow processes users drag tools toolbox onto canvas connect together edit properties create alteryx workflows apps macros spatial category includes tools offer spatial data manipulation processing object editing intuitive workflow allows visually bring several data sets geocode combine spatially sources like tomtom us census even enrich demographic data alteryx makes turning traditional data geospatial data easy data scientists required
SAS Suite,sas previously statistical analysis system statistical software suite developed sas institute data management advanced analytics multivariate analysis business intelligence criminal investigation predictive analytics
Cognos,ibm cognos business intelligence webbased integrated business intelligence suite ibm provides toolset reporting analytics scorecarding monitoring events metrics software consists several components designed meet different information requirements company
ICP4D,ibm cloud private data new kind data analytics platform builtin governance simplifies unifies collect organize analyze data accelerate value data science ai
Infosphere,ibm infosphere datastage etl tool part ibm information platforms solutions suite ibm infosphere uses graphical notation construct data integration solutions available various versions server edition enterprise edition mvs edition
PureData,ibm puredata system analytics powered netezza technology simple data appliance serious analytics simplifies optimizes performance data services analytic applications enabling complex algorithms run minutes hours
QMF,ibm db query management facility qmf zos business analytics software developed ibm originally created reporting interface ibm db zos database used generate reports business decision
SPSS Platform,ibm spss software platform offers advanced statistical analysis vast library machine learning algorithms text analysis opensource extensibility integration big data seamless deployment applications ibm spss statistics powerful statistical software platform offers userfriendly interface robust set features lets organization quickly extract actionable insights data advanced statistical procedures help ensure high accuracy quality decision making facets analytics lifecycle included data preparation management analysis reporting
Trillium,trillium software system tss consumable single solution managing data quality designed intuitive easytouse business data professionals yet powerful enough handle challenging data quality issues precisely trillium rapidly transforms tangled data trusted business information support datadriven initiatives across organization versatile single solution provides flexible deployment options batch realtime data quality support rapidly changing business needs data sources enterprise infrastructures
Cloudera Data Platform (CDP),cloudera data platform cdp hybrid data platform designed unmatched freedom chooseany cloud analytics data cdp delivers faster easier data management data analytics data anywhere optimal performance scalability security cdp get advantages cdp private cloud cdp public cloud faster time value increased control combines cdh
Power BI,power bi business analytics service microsoft aims provide interactive visualizations business intelligence capabilities interface simple enough end users create reports dashboards power bi collection software services apps connectors work together turn unrelated sources data coherent visually immersive interactive insights data may excel spreadsheet collection cloudbased onpremises hybrid data warehouses
Open Studio for Data Integration,talend open studio begin building basic data pipelines time execute simple etl data integration tasks get graphical profiles data manage files locally installed opensource environment control includes talend big data acquired qlik
Open Studio for Data Integration,talend open studio begin building basic data pipelines time execute simple etl data integration tasks get graphical profiles data manage files locally installed opensource environment control includes talend big data acquired qlik
Web Focus,part latest developments tibco webfocus software new immersive responsive webfocus hub start page allows access every type device navigation areas capabilities platform download datasheet learn new features users control experience manage organize content way want need
Hyperion,oracle hyperion planning centralized planning budgeting forecasting solution integrates financial operational planning processes improves business predictability hyperion business division oracle thats known corporate performance management cpm business intelligence systems hyperion portfolio includes products financial management budgeting planning forecasting bpf financial reporting database management financial consolidation treasury management analytics
Collibra Platform (data Intelligence Cloud),collibra data governance center collibra enterpriseoriented data governance platform provides tools data management stewardship software allows enterprises organize manage data assets related data policies rules collibra platform empowers enterprises find meaning data improve quality business decisions one shared platform business users collaborate create datadriven organization using suite collibra products current data intelligence cloud solution includes data catalog data governance
Virtual Workspace,citrix workspace digital workspace solution delivers secure unified access apps desktops content resources anywhere device resources virtual apps desktops content apps local mobile apps saas web apps browser apps
Virtual App and Desktop,citrix virtual apps desktops virtualization solutions give control virtual machines applications licensing security providing anywhere access device
Virtual App and Desktop,citrix virtual apps desktops virtualization solutions give control virtual machines applications licensing security providing anywhere access device
Stormboard,stormboard allinone online whiteboard tool highperforming teams hold meetings monitor projects get work done every day matter locateddown hall different building somewhere else world
Jive,jive software enterprise social networkingsoftware vendor based palo alto california companys flagship product jive social business platform offers facebooklike interface organizations employees use brainstorm collaborate share information
Mattermost Platform,mattermost opensource selfhostable online chat service file sharing search integrations designed internal chat organisations companies mostly markets opensource alternative slack microsoft teams
EMS Workplace,purchased ems google calendar google extension phase google integration room reservation
Webcaster,webcaster unlimited selfservice enterprise webcasting platform optimized meetings participants pure cloudbased solution webcaster transforms usage cost paradigms offer complete proven solution combines high quality audio engaging video interactive user experienceand consistent service delivery enterprisewide result exceptional webcasting experience every time every one one low annual cost webcaster technology works viewers arent distracted quality issues impact message comes across clearly
Meetings & Incentives Worldwide Managed Services,sow contractor support cvent meeting event management software
Cvent Meetings and Events Enterprise,suite ondemand software tools enables organizations communicate aggregate data efficiently attendee management solution site selection tool meetings management solution
Google Chromebox,google chromebox licenses meetings software management support
Jamboard,management license jamboard device digital whiteboard whiteboard works cloud
Slido Enterprise,qa polling platform meetings events
Tag Manager 360,google tag manager gives simple reliable tag management integrates systems youre already using customization features allow adapt tag manager suit exact needs youll able launch tags faster make swifter better decisions use
Doubledutch (Event CMS),event content management system upload content react attendees realtime provides insight
WebEx,webex meetings lets host online meetings hd video audio screen sharing
Google Workspace (G Suite ),g suite google workspace suite cloud computing productivity collaboration tools software products developed google
Connections,hcl connections issocial networking software designed workplace
MiCloud Connect,micloud connect complete cloud business communications service delivers seamless voice collaboration contact center solutions single provider combining intuitive user experience flexible service plans google clouds proven reliability micloud connect makes every aspect cloud communications collaboration simple secure
Moxtra,moxtra collaboration communication platform sdksapis primarily mobileoriented
SurgeMail,surgemail one fastest robust fullyfeatured email secure server market today supports standards protocols thousands mail servers installed software serving hundreds thousands webmail accounts around world
WebCenter,oracle webcenter contains set components building rich web applications portals team collaborationsocial sites oracle webcenter center engagement business powering exceptional experiences customers partners employees connects people processes information complete portfolio portal content management web experience management collaboration technologies
Slack,slack proprietary business communication platform developed american software company slack technologies slack offers many ircstyle features including persistent chat rooms organized topic private groups direct messaging slack purchased salesforce
SmartSheet,smartsheet software service offering collaboration work management developed marketed smartsheet inc used assign tasks track project progress manage calendars share documents manage work using tabular user interface
SnagIt,snagit screenshot program captures video display audio output
Process Runner GLSU,glsu plug play spreadsheet uploader solution sap provides flexible intuitive excel interface collecting posting financial transactions excel
Zoom,provides videotelephony online chat services cloudbased peertopeer software platform used teleconferencing telecommuting distance education social relations
Pexip Infinity,pexip infinity selfhosted virtualized distributed multipoint conferencing platform
Bright Talk Webinars,brighttalk isa technology media company provides professional webinar hosting variety industries
Labs,brightidea cloudbased innovation management solution designed midsize large companies brightidea features discussion management provides users collaboration platform share comment ideas users also view comments based teams topics ideas physical map collect share route screen evaluate experiment incubate develop track report best ideas organization offer advanced idea innovation management software available
Adobe Connect,audio bridges used adobe connect adobe connect supports virtal classroom training critical business priorities eliminate need travel associated traditional classroom training still providing engaging experience
Adobe Connect,adobe connect mtg coso mgdallmgscallms named host coso connect meeting named host coso cloud managed services individual named host ability host meeting total attendees
Adobe Connect,adobe connect robust featurerich solution integrates seamlessly cloud communications division ntts global audio conferencing providing consistent intuitive enterpriseclass meeting user experience anyone anywhere device arkadin getconnect licenses provide audio integration adobe platform utilized engagement communications home based team hba
Confluence,confluence team workspace knowledge collaboration meet dynamic pages give team place create capture collaborate project idea atlassian corporation enterprise software multinational develops products software development project management content management best known issue tracking application jira team collaboration wiki product confluenceatlassian stack bundle atlassians data center tools along server offerings atlassian customers already using tools good opportunity get everything single suite atlassian stack includes data center versions jira software bitbucket jira service desk confluence cloud overview
Office 365 ProPlus-Old,office proplus userbased service allows people install full versions microsoft office pcs macs mobile devices
Office Professional Plus,office professional plus includes access excel onenote outlook powerpoint publisher word skype business
Office 365 ProPlus,microsoft pro plus productivity cloud designed help pursue passion run business apps like word excel powerpoint microsoft brings together bestinclass productivity apps powerful cloud services device management advanced security one connected experience office proplus essentially alwaysuptodate version microsoft office suite apps
Lucidchart,lucidchart intelligent diagramming application brings teams together make better decisions build future collaboration tool drawing revising sharing charts diagrams diagram people processes systems take advantage powerful features help team communicate complex ideas collaborating real time
Playbooks,ai platform helps sales teams build better pipeline insidesalescom playbooks system improve rep productivity allowing reps work within automated consolidated single paneofglass application highly integrated salesforcecom predictive playbooks platform allow sales leadership marketing sales enablement align sales reps best practices includes messaging cadence performance insidesalescom playbooks system incorporates many components replace multiple applications dialer email tracking gamification etc
Marketo Engage,marketo develops sells marketing automation software accountbased marketing marketing services products including seo content creationengage empower existing customers new products services understanding needs get view customer connecting marketing sales data customer utilize pre post analysis marketing focus investments drive valuable opportunities drive conversion customizing content across platforms screens marketingsales activity engage customers individuals scale responding based dont wherever automatically segment customers based demographics behaviors engage customers throughout journey personalized automated emails create single view customers end end view across programs channels email online events social measure track email campaign effectiveness easy use performance dashboards enable customers become brand ambassadors providing right content tools share
Localworks,website yext provides perfect answers everywhere customers search yexts search experience cloud puts businesses control facts online providing brand verified answers websites across search engines maps apps voice assistants chatbots yext helps brands take back control customer journey
KBM,prospect data warehouse management campaign management results attribution server hw sw email deployment data analytics technology integration marketing services company committed helping clients achieve optimized marketing results customer relationshipsprovide relevant interactions consumers design engagement ecosystems synchronized communications help worlds bestknown brands evolve along datadriven marketing continuum improved marketing performance mutually valuable customer relationships stronger competitive advantage
KBM,prospect data warehouse management campaign management results attribution server hw sw email deployment data analytics technology integration marketing services company committed helping clients achieve optimized marketing results customer relationshipsprovide relevant interactions consumers design engagement ecosystems synchronized communications help worlds bestknown brands evolve along datadriven marketing continuum improved marketing performance mutually valuable customer relationships stronger competitive advantage
Lattice Atlas,lattice atlas enables deliver activate audiences different channels digital ads social web email sales measure manage performance measure track performance campaign tactic business tie back pipeline revenue lattice atlas architected open platform principles data model designed aggregate wide variety data enabling customers create view prospects customers standardized data ingestion interface import stparty data internal systems quickly easily
SWRVE Mobile Engagement Platform,swrve mobile marketing customer engagement platform helps leading brands confidently scale communications millions customers real time softwareasaservice platform providing application engagement targeting ab testing inapp messaging push notification functionality swrve enables visible engage customers highly relevant timely manner
Email Generation Platform,email generation platform seamlessly integrates esp allows enterprise marketerswithout technical knowledgeto easily generate onbrand errorproof emails think us cms built specifically email tool used marketing department generate code ready emails via wysiwyg interface tool ensures emails brand compliant adhere brand standards
Glassbox,glassbox crossplatform analytics tool specializes session replay technology allows companies integrate screen recording technology appsto replay user interacts apps software platform providing digital session capture native mobile applications web based applications recording analyzing customer digital journeys
"Tealium iQ Tag Management, EventStream, EventStore, AudienceStore",tealium iq tag management enterprise tag management system serves foundation suppliers universal data hub tealium iq enables organizations control manage customer data technology vendors across web mobile iot connected devices via ecosystem turnkey integrations offered via tags apis tealium eventstream data collection delivery solution ideal mobile iot connected devices provides flexibility get cloudbased serverside data one central hub allows customers orchestrate data powering customer experience tealium audiencestream provides audience management data enrichment capabilities resulting unified customer profiles ability take immediate relevant action based data eventstore provides efficient way collecting exporting eventlevel data data compressed flattened json file made available download suppliers amazon bucket audiencestore provides efficient way collecting exporting visitorlevel data data compressed flattened json file made available download suppliers amazon bucket
ISPOT TV Attribution,realtime tv attribution services tv measurement tv attribution tv advertising analytics ispot leader tv attribution platform enables measure optimize plan tv business outcomes ispottv helps advertisers measure brand business impact tv streaming advertising concept airing conversion
Intercom Messaging Platform,intercom produces messaging platform allows businesses communicate prospective existing customers within app website social media via email
WebAssurance,observepoint software company provides automated analytics testing tag governance digital analytics marketing technologies observepoints platforms verify data collect site mobile app accurate allowing make informed confident business decisions observepoint premier data quality assurance platform automatically verifying web tag performance improving digital data quality observepoint integrates virtually every marketing technology ensure accurate data collection across analytics solutions channels devices webassurance observepoint data quality assurance solution audits web properties automatically validate digital data gain confidence numbers drive critical business decisions web assurance identify missing duplicate web tags
AppAssurance,test monitor validate mobile sdks analytics data appassurance scans mobile app analyzing thirdparty implementations functionality errors maximizes roi mobile app investments gives better data insights monitor test validate mobile apps analytics marketing technology deployments see detect mobile app tag deployment errors test mobile software developments kits mobile sdk provide set software development tools allow wide range varied mobile apps smartphones tablets app creators able tap robust features sdk without needing coding expertise extensive software development
T1Research,access forresters research data
Kaon High Velocity Marketing Platform,kaon interactive provider interactive product marketing sales applications kaon high velocity marketing platform creates captures economic value every phase marketing sales lifecycle unlike point solution providers extensible nature kaons platform allows interactive applications created used everywhere driving powerful customer engagement global bb companiesedge computing ar poc app use kaon high velocity marketing platform saas
Mention Plan,mention solutions provides media monitoring application company develops application creates alerts clients brand industry company name competitors well monitor improve social media performance find influencers protect reputation media monitoring tool provides realtime alerts companys keyword allows users monitor millions sources real time languages
Signet Media Managed Services,full service national agency combining proficiency brand strategy media planning digital marketing creative design web design social media events public relations much digital engagement platform facilitates communications marketing across key enterprise divisions create one point contact efficiency reporting
Bitly,bitly url shortening service link management platform bitly mostly known popular url link shortener thats addition processing billions clicks web links every month bitly also powerful online marketing tool used track clicks see site referrals get idea geographical locations clicks coming
Return Path,return path offers suite cloudbased products ensure email campaign optimization message deliverability return path helps commercial email senders get email delivered inbox tools services give senders insight resources diagnose prevent email deliverability rendering failures improving maintaining email sending reputations return path acquired validity
DealWall,dealwall purposebuilt dealexecution app targeted account channel sales executives crosscompany sales partners customer deal teams securely collaborate deals device anytime anyplace
Audience Manager,data management platform helps build unique audience profiles identify valuable segments use across digital channel
Experience Platform (AEP Core),experience platform foundation experience cloud products open system transforms dataadobe nonadobeinto robust customer profiles update real time uses aidriven insights help deliver right experiences across every channel
Experience Platform Application Services (AEP App Svc),customer journey analytics customer journey analytics service built adobe experience platform lets join data every channel single interface realtime omnichannel analysis visualization allowing make better decisions holistic view business context behind every customer action realtime customer data platform collect normalize unify known unknown individual data company data robust realtime people account profiles let bc bb marketers deliver personalized experiences across channel scale journey orchestration journey orchestration service built adobe experience platform allows tailor individual journeys every customer based previous behavior preferences
Premier Support,adobe premier support
Siebel,oracle siebel crm sales force automation sfa customer relationship management solution designed assist enterprises manage customer experiences includes range sales marketing customer service applications tailored various industries siebel crmcustomer relationship management application mainly deployed companies huge customer base expect regular interaction
Decision Manager,decision management enhance applications help predict customer behavior optimize business processes analyze natural language make informed decisions better meet customers needs achieve positive business outcomes
Stack Overflow,stack exchange network questionandanswer websites topics diverse fields site covering specific topic questions answers users subject reputation award process reputation system allows sites selfmoderating
Vivial Marketing Platform,combining power custom content reach social media immediacy text messaging vivial marketing platform ticket connecting engaging customers support expert ondemand service team youre never alone
Journey Automated Marketing System(JAMS),reaching vision fully integrated marketingwhere touchpoints across channels work together deliver powerful customer journey experience
SafetoSend,email verification validation hygiene freshaddress data delivers customer acquisition solutions help reach customers inbox mailbox data appending services add optedin email addresses existing postal database well postal information existing email address database
Engage,sales scorecard tool used help planning sales goals helps identify sales reps behaviors performance goal tracking kpi tracking mgrs insights reps need focus
Enterprise Sales Enablement Platform,seismics sales enablement solution empowers enhance way deliver content sellers providing sales team instant access dealclinching collateral right time training effective news matters
Responsive Acquisition Marketing Platform (RAMP),system llc provides software solutions company develops pretargeting platform identify unlock fulfill consumer intent across channels including social native email search market research lead generation system serves customers state california
Demand Acceleration Platform,integrate leader precision demand marketing emerging category help bb marketers develop deliver omnichannel demand strategy convert leads revenue drive marketing roi integrate works highgrowth enterprise organizations bb marketplace digital buyerdriven integrate demand acceleration platform dap empowers team reach right accounts buyers theyre ready buy using data thats always validated marketable
Skyword360,skyword enterprise content marketing platform streamlines content planning ideation creation publication optimization
GridBuddy,gridbuddy aims increase productivity improve usability salesforce sales reps customer service agents project managers sales enablemet solution adds increased functionality salesforce features allowing mass actions across multiple records simplify complex data management processes working within salesforce crm easily edit manage data accessing superior visibility pipeline improved salesforce ux simplified workflow
Validity for Data Management,validity data management complete solution ensuring quality data trustworthy contact list driving toward crm adoption confidence data means confidence business decisions suite including demandtools gridbuddy briteverify
Integration Manager,db integration manager brings together various data sources transforms actionable commercial insight
Hoovers,hoovers online bb prospecting solution utilizes dun bradstreet business data better faster acquisition bb leads prospects hoovers also leveraged many bb companies enhance quality data enabling fully maximize impact marketing sales efforts ultimately get desired campaign results better
NetProspex,pairing netprospexs data services platform approach measuring data quality dun bradstreets global commercial database positions bb marketers gain deeper insights target audiences move aims provide single source help bb marketers identify analyze prioritize opportunities
D&B Optimizer,db optimizer foundational data service dun bradstreet improves quality business data correctly identifying cleansing injecting firmographic intelligence records within microsoft application environment
Finance Analytics,formerly dnbi order called finance analytics db credit service provide substantially functionality usage allowance dnbi service dnbi credit risk management product previously called dnbi order
ABM Managed Services,ignitium accountbased marketing abm shall research accounts personas develop strategy design campaigns generate awareness opportunities revenue target accounts service includes weekly meetings team review relevant data discuss strategy engagio primary platform abm strategy orchestration
Zeta Marketing Platform,winback email licenses appends zeta global customer lifecycle management marketing company founded zeta helps companies create maintain monetize customers providing customers enhanced multichannel marketing tools help manage full customer lifecycle
Conductor Searchlight,companys primary product conductor searchlight cloudbased seo content marketing platform conductor also provides recommended actions optimizing digital marketing metrics increasing revenue
Infobase Enhancement Elements and Audience Propensities,company collects analyzes sells customer business information used targeted advertising campaigns demographic data us households appended customer records well prospects
Cirrus Insight,cirrus insights core functionality integrate googles popular gmail adsupported free email program salesforcecoms cloudbased customer relationship management crm software features include ability track gmail emails attachments salesforce view salesforce information gmail google apps synchronize salesforce google calendars add users google contacts salesforce
PeopleAI Enterprise Platform,provides sales management platform company platform automates sales rep ramp coaching activity analytics customer relationship management data entry using machine learning
Priority Engine Platform,techtargets priority engine saasbased platform delivers direct realtime access active accounts prospects ranked level purchase intent engagement help enterprise bb technology organizations improve abm performance increase sales productivity maximize demand priority engine boosts sales marketing success providing direct access real active buyers inmarket accounts see priority engine supports goals
